atbats,hits,avg
384,97,0.252604167
296,84,0.283783784
334,94,0.281437126
626,176,0.28115016
558,130,0.23297491
368,87,0.236413043
620,168,0.270967742
597,170,0.284757119
351,88,0.250712251
486,130,0.267489712
474,93,0.196202532
225,61,0.271111111
330,75,0.227272727
361,91,0.252077562
550,149,0.270909091
304,64,0.210526316
408,97,0.237745098
500,103,0.206
452,117,0.258849558
371,99,0.266846361
509,147,0.288801572
554,164,0.296028881
631,199,0.315372425
152,27,0.177631579
227,41,0.18061674
391,83,0.212276215
236,56,0.237288136
246,76,0.308943089
452,121,0.267699115
280,68,0.242857143
262,57,0.217557252
420,101,0.24047619
525,138,0.262857143
556,158,0.284172662
496,135,0.272177419
626,164,0.261980831
368,79,0.214673913
392,86,0.219387755
582,168,0.288659794
425,121,0.284705882
532,155,0.291353383
508,123,0.242125984
381,108,0.283464567
344,96,0.279069767
555,193,0.347747748
399,100,0.250626566
294,74,0.25170068
453,117,0.258278146
605,190,0.314049587
216,63,0.291666667
626,199,0.317891374
506,113,0.223320158
380,103,0.271052632
435,119,0.273563218
666,163,0.244744745
264,64,0.242424242
529,127,0.240075614
266,71,0.266917293
289,66,0.228373702
569,162,0.284710018
233,57,0.244635193
567,143,0.252204586
508,160,0.31496063
499,124,0.248496994
435,123,0.282758621
513,134,0.261208577
413,110,0.266343826
489,163,0.333333333
584,167,0.285958904
317,65,0.205047319
331,86,0.259818731
607,160,0.263591433
284,70,0.246478873
391,97,0.248081841
473,130,0.274841438
204,48,0.235294118
328,78,0.237804878
600,168,0.28
438,112,0.255707763
237,54,0.227848101
543,131,0.241252302
579,174,0.300518135
485,120,0.24742268
558,136,0.243727599
442,112,0.253393665
318,71,0.22327044
525,115,0.219047619
213,55,0.258215962
390,93,0.238461538
433,117,0.270207852
577,172,0.298093588
530,144,0.271698113
607,142,0.233937397
508,130,0.255905512
482,131,0.271784232
624,174,0.278846154
246,55,0.223577236
403,89,0.220843672
256,51,0.19921875
415,109,0.262650602
240,53,0.220833333
348,79,0.227011494
252,57,0.226190476
369,83,0.224932249
531,125,0.235404896
551,176,0.319419238
462,121,0.261904762
176,35,0.198863636
539,147,0.272727273
354,86,0.242937853
246,69,0.280487805
408,100,0.245098039
602,182,0.302325581
312,77,0.246794872
293,86,0.293515358
535,152,0.28411215
583,171,0.293310463
391,118,0.301790281
633,168,0.265402844
357,90,0.25210084
288,65,0.225694444
486,121,0.248971193
262,53,0.202290076
204,43,0.210784314
157,30,0.191082803
576,144,0.25
139,30,0.215827338
601,158,0.262895175
424,116,0.273584906
520,130,0.25
543,124,0.228360958
224,51,0.227678571
397,99,0.249370277
382,97,0.253926702
327,95,0.290519878
520,156,0.3
623,188,0.30176565
373,86,0.230563003
606,184,0.303630363
325,73,0.224615385
454,109,0.240088106
350,106,0.302857143
453,143,0.315673289
365,86,0.235616438
552,150,0.27173913
548,150,0.273722628
527,133,0.252371917
514,165,0.321011673
254,53,0.208661417
366,86,0.234972678
653,186,0.284839204
403,94,0.23325062
413,97,0.234866828
240,55,0.229166667
216,48,0.222222222
478,142,0.29707113
423,107,0.252955083
545,151,0.27706422
564,160,0.283687943
467,114,0.244111349
154,30,0.194805195
410,89,0.217073171
241,53,0.219917012
259,56,0.216216216
392,95,0.242346939
511,121,0.236790607
401,102,0.25436409
404,113,0.27970297
465,134,0.288172043
277,69,0.249097473
290,75,0.25862069
549,163,0.296903461
614,165,0.268729642
315,90,0.285714286
603,175,0.290215589
351,90,0.256410256
521,146,0.280230326
667,189,0.283358321
634,172,0.271293375
510,143,0.280392157
457,119,0.260393873
438,97,0.221461187
296,74,0.25
605,182,0.300826446
445,144,0.323595506
353,80,0.226628895
356,91,0.255617978
583,185,0.317324185
531,137,0.258003766
333,95,0.285285285
323,77,0.238390093
348,79,0.227011494
283,66,0.233215548
505,161,0.318811881
413,95,0.230024213
602,167,0.277408638
462,107,0.231601732
495,128,0.258585859
572,148,0.258741259
293,71,0.242320819
312,67,0.21474359
446,114,0.255605381
472,110,0.233050847
658,188,0.285714286
436,96,0.220183486
335,98,0.292537313
498,129,0.259036145
458,139,0.30349345
240,72,0.3
267,63,0.235955056
264,65,0.246212121
304,79,0.259868421
518,159,0.306949807
446,107,0.239910314
247,59,0.238866397
294,67,0.227891156
601,161,0.267886855
209,51,0.244019139
641,193,0.301092044
277,58,0.209386282
280,58,0.207142857
629,178,0.282988871
269,65,0.241635688
409,124,0.303178484
