Player,Salary,Age,FG,RB,AST,STL,BLK,PTS
A.J. Price,885.12,26,2.824561403508772,2.0,3.5964912280701755,0.5789473684210527,0.05263157894736842,7.7368421052631575
Aaron Brooks,3250.0,28,2.69811320754717,1.509433962264151,2.150943396226415,0.5660377358490566,0.18867924528301888,7.09433962264151
Al Harrington,6687.4,32,2.0,2.7,1.0,0.4,0.1,5.1
Al Horford,12000.0,26,7.783783783783784,10.22972972972973,3.2432432432432434,1.054054054054054,1.054054054054054,17.41891891891892
Al Jefferson,15000.0,28,7.833333333333333,9.23076923076923,2.1025641025641026,1.0256410256410255,1.141025641025641,17.833333333333332
Al-Farouq Aminu,2947.8,22,2.960526315789474,7.697368421052632,1.355263157894737,1.2105263157894737,0.6710526315789473,7.302631578947368
Alan Anderson,854.389,30,3.6307692307692307,2.276923076923077,1.5846153846153845,0.7384615384615385,0.1076923076923077,10.661538461538461
Alec Burks,2111.16,21,2.546875,2.265625,1.4375,0.546875,0.203125,7.046875
Alexey Shved,2934.61,24,3.064935064935065,2.272727272727273,3.7142857142857144,0.7012987012987013,0.35064935064935066,8.636363636363637
Alonzo Gee,3500.0,25,3.7195121951219514,3.902439024390244,1.6219512195121952,1.3048780487804879,0.35365853658536583,10.268292682926829
Amir Johnson,6000.0,25,4.148148148148148,7.54320987654321,1.5061728395061729,1.0,1.3580246913580247,10.037037037037036
Anderson Varejao,8368.182,30,5.52,14.44,3.36,1.48,0.56,14.12
Andray Blatche,854.389,26,4.219512195121951,5.085365853658536,1.0365853658536586,1.048780487804878,0.6585365853658537,10.28048780487805
Andre Drummond,2356.32,19,3.466666666666667,7.616666666666666,0.5,0.9833333333333333,1.5833333333333333,7.933333333333334
Andre Iguodala,14718.25,29,4.95,5.2875,5.4125,1.7375,0.65,12.975
Andre Miller,5000.0,36,3.6951219512195124,2.902439024390244,5.902439024390244,0.8902439024390244,0.13414634146341464,9.585365853658537
Andrea Bargnani,10000.0,27,4.857142857142857,3.657142857142857,1.0857142857142856,0.6,0.6571428571428571,12.657142857142857
Andrei Kirilenko,9779.349,31,4.4375,5.65625,2.765625,1.5,0.96875,12.359375
Andrew Bogut,13000.0,28,2.59375,7.65625,2.09375,0.625,1.71875,5.8125
Antawn Jamison,854.389,36,3.513157894736842,4.7631578947368425,0.6578947368421053,0.39473684210526316,0.2894736842105263,9.368421052631579
Anthony Davis,5144.28,19,5.453125,8.15625,0.984375,1.171875,1.75,13.546875
Anthony Morrow,4000.0,27,1.5609756097560976,0.7317073170731707,0.3170731707317073,0.3170731707317073,0.024390243902439025,4.0
Anthony Randolph,1674.641,23,1.435897435897436,2.4358974358974357,0.3076923076923077,0.48717948717948717,0.5384615384615384,3.6666666666666665
Anthony Tolliver,854.389,27,1.3225806451612903,2.5,0.5161290322580645,0.24193548387096775,0.1935483870967742,4.080645161290323
Aron Baynes,401.17,26,1.125,2.0,0.3125,0.0625,0.375,2.6875
Arron Afflalo,7562.5,27,6.203125,3.734375,3.21875,0.625,0.171875,16.515625
Austin Daye,2958.077,24,1.6363636363636365,2.2363636363636363,0.7636363636363637,0.2545454545454545,0.4,4.490909090909091
Austin Rivers,2238.36,20,2.377049180327869,1.7868852459016393,2.081967213114754,0.4262295081967213,0.14754098360655737,6.180327868852459
Avery Bradley,1630.8,22,3.84,2.22,2.08,1.28,0.38,9.22
Ben Gordon,12400.0,29,4.133333333333334,1.7333333333333334,1.88,0.4666666666666667,0.21333333333333335,11.2
Ben Hansbrough,473.604,25,0.5357142857142857,0.6428571428571429,0.75,0.25,0.07142857142857142,2.0357142857142856
Beno Udrih,7372.2,30,3.1818181818181817,2.1363636363636362,4.575757575757576,0.6212121212121212,0.045454545454545456,8.151515151515152
Bernard James,473.604,27,1.1521739130434783,2.847826086956522,0.13043478260869565,0.2608695652173913,0.8260869565217391,2.847826086956522
Blake Griffin,7226.892,23,7.2125,8.275,3.7375,1.2125,0.625,18.0
Boris Diaw,4500.0,30,2.3866666666666667,3.3866666666666667,2.4,0.6933333333333334,0.36,5.8
